id,ticker,stonk
209,EBC,Eastern Bankshares Inc. Common Stock
210,EEFT,Euronet Worldwide Inc. Common Stock
211,ENPH,Enphase Energy Inc. Common Stock
212,ENSG,The Ensign Group Inc. Common Stock
213,ENTG,Entegris Inc. Common Stock
214,ENVX,Enovix Corporation Common Stock
215,EPAY,Bottomline Technologies Inc. Common Stock
216,EQIX,Equinix Inc. Common Stock REIT
217,EQRX,EQRx Inc.  Common Stock
218,ERIC,Ericsson American Depositary Shares
219,ERIE,Erie Indemnity Company Class A Common Stock
220,ESGR,Enstar Group Limited Ordinary Shares
221,ESLT,Elbit Systems Ltd. Ordinary Shares
222,ETSY,Etsy Inc. Common Stock
223,EVCM,EverCommerce Inc. Common Stock
224,EVO,Evotec SE American Depositary Shares
225,EWBC,East West Bancorp Inc. Common Stock
226,EXAS,Exact Sciences Corporation Common Stock
227,EXC,Exelon Corporation Common Stock
228,EXEL,Exelixis Inc. Common Stock
229,EXFY,Expensify Inc. Class A Common Stock
230,EXLS,ExlService Holdings Inc. Common Stock
231,EXPD,Expeditors International of Washington Inc. Common Stock
232,EXPE,Expedia Group Inc. Common Stock
233,EXPI,eXp World Holdings Inc. Common Stock
234,EXPO,Exponent Inc. Common Stock
235,EYE,National Vision Holdings Inc. Common Stock
236,FA,First Advantage Corporation Common Stock
237,FANG,Diamondback Energy Inc. Commmon Stock
238,FAST,Fastenal Company Common Stock
239,FATE,Fate Therapeutics Inc. Common Stock
240,FB,Meta Platforms Inc. Class A Common Stock
241,FCFS,FirstCash Holdings Inc. Common Stock
242,FCNCA,First Citizens BancShares Inc. Class A Common Stock
243,FELE,Franklin Electric Co. Inc. Common Stock
244,FFBC,First Financial Bancorp. Common Stock
245,FFIN,First Financial Bankshares Inc. Common Stock
246,FFIV,F5 Inc. Common Stock
247,FHB,First Hawaiian Inc. Common Stock
248,FIBK,First Interstate BancSystem Inc. Class A Common Stock
249,FISV,Fiserv Inc. Common Stock
250,FITB,Fifth Third Bancorp Common Stock
251,FIVE,Five Below Inc. Common Stock
252,FIVN,Five9 Inc. Common Stock
253,FIZZ,National Beverage Corp. Common Stock
254,FLEX,Flex Ltd. Ordinary Shares
255,FLYW,Flywire Corporation Voting Common Stock
256,FMBI,First Midwest Bancorp Inc. Common Stock
257,FOCS,Focus Financial Partners Inc. Class A Common Stock
258,FOLD,Amicus Therapeutics Inc. Common Stock
259,FORM,FormFactor Inc. FormFactor Inc. Common Stock
260,FOX,Fox Corporation Class B Common Stock
261,FOXA,Fox Corporation Class A Common Stock
262,FOXF,Fox Factory Holding Corp. Common Stock
263,FRHC,Freedom Holding Corp. Common Stock
264,FRME,First Merchants Corporation Common Stock
265,FROG,JFrog Ltd. Ordinary Shares
266,FRPT,Freshpet Inc. Common Stock
267,FRSH,Freshworks Inc. Class A Common Stock
268,FSLR,First Solar Inc. Common Stock
269,FSV,FirstService Corporation Common Shares
270,FTDR,Frontdoor Inc. Common Stock
271,FTNT,Fortinet Inc. Common Stock
272,FULT,Fulton Financial Corporation Common Stock
273,FUTU,Futu Holdings Limited American Depositary Shares
274,FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock
275,FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock
276,FWRD,Forward Air Corporation Common Stock
277,FYBR,Frontier Communications Parent Inc. Common Stock
278,GBDC,Golub Capital BDC Inc. Common Stock
279,GDRX,GoodRx Holdings Inc. Class A Common Stock
280,GDS,GDS Holdings Limited ADS
281,GFS,GlobalFoundries Inc. Ordinary Shares
282,GH,Guardant Health Inc. Common Stock
283,GILD,Gilead Sciences Inc. Common Stock
284,GLBE,Global-E Online Ltd. Ordinary Shares
285,GLPG,Galapagos NV American Depositary Shares
286,GLPI,Gaming and Leisure Properties Inc. Common Stock
287,GMAB,Genmab A/S ADS
288,GNTX,Gentex Corporation Common Stock
289,GO,Grocery Outlet Holding Corp. Common Stock
290,GOOG,Alphabet Inc. Class C Capital Stock
291,GOOGL,Alphabet Inc. Class A Common Stock
292,GRAB,Grab Holdings Limited Class A Ordinary Shares
293,GRFS,Grifols S.A. American Depositary Shares
294,GRUB,Just Eat Takeaway.com N.V. American Depositary Shares
295,GSHD,Goosehead Insurance Inc. Class A Common Stock
296,GT,The Goodyear Tire & Rubber Company Common Stock
297,GTLB,GitLab Inc. Class A Common Stock
298,HAIN,Hain Celestial Group Inc. (The) Common Stock
299,HALO,Halozyme Therapeutics Inc. Common Stock
300,HAS,Hasbro Inc. Common Stock
301,HBAN,Huntington Bancshares Incorporated Common Stock
302,HCM,HUTCHMED (China) Limited American Depositary Shares
303,HCP,HashiCorp Inc. Class A Common Stock
304,HELE,Helen of Troy Limited Common Stock
305,HHR,HeadHunter Group PLC American Depositary Shares
306,HLNE,Hamilton Lane Incorporated Class A Common Stock
307,HMHC,Houghton Mifflin Harcourt Company Common Stock
308,HOLX,Hologic Inc. Common Stock
309,HON,Honeywell International Inc. Common Stock
310,HOOD,Robinhood Markets Inc. Class A Common Stock
311,HOPE,Hope Bancorp Inc. Common Stock
312,HQY,HealthEquity Inc. Common Stock
313,HSIC,Henry Schein Inc. Common Stock
314,HST,Host Hotels & Resorts Inc. Common Stock
315,HTHT,Huazhu Group Limited American Depositary Shares
316,HTLF,Heartland Financial USA Inc. Common Stock
317,HTZ,Hertz Global Holdings Inc Common Stock
318,HUBG,Hub Group Inc. Class A Common Stock
319,HWC,Hancock Whitney Corporation Common Stock
320,HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares
321,IAC,IAC/InterActiveCorp Common Stock
322,IART,Integra LifeSciences Holdings Corporation Common Stock
323,IAS,Integral Ad Science Holding Corp. Common Stock
324,IBKR,Interactive Brokers Group Inc. Class A Common Stock
325,IBOC,International Bancshares Corporation Common Stock
326,IBRX,ImmunityBio Inc. Common Stock
327,IBTX,Independent Bank Group Inc Common Stock
328,ICLR,ICON plc Ordinary Shares
329,ICUI,ICU Medical Inc. Common Stock
330,IDCC,InterDigital Inc. Common Stock
331,IDXX,IDEXX Laboratories Inc. Common Stock
332,IEP,Icahn Enterprises L.P. Common Stock
333,IHRT,iHeartMedia Inc. Class A Common Stock
334,IIVI,II-VI Incorporated Common Stock
335,ILMN,Illumina Inc. Common Stock
336,INCY,Incyte Corp. Common Stock
337,INDB,Independent Bank Corp. Common Stock
338,INMD,InMode Ltd. Ordinary Shares
339,INSM,Insmed Inc. Common Stock
340,INTC,Intel Corporation Common Stock
341,INTU,Intuit Inc. Common Stock
342,IONS,Ionis Pharmaceuticals Inc. Common Stock
343,IOSP,Innospec Inc. Common Stock
344,IOVA,Iovance Biotherapeutics Inc. Common Stock
345,IPAR,Inter Parfums Inc. Common Stock
346,IPGP,IPG Photonics Corporation Common Stock
347,IQ,iQIYI Inc. American Depositary Shares
348,IRDM,Iridium Communications Inc Common Stock
349,IRTC,iRhythm Technologies Inc. Common Stock
350,ISBC,Investors Bancorp Inc. Common Stock
351,ISRG,Intuitive Surgical Inc. Common Stock
352,ITCI,Intra-Cellular Therapies Inc. Common Stock
353,ITRI,Itron Inc. Common Stock
354,JAMF,Jamf Holding Corp. Common Stock
355,JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland)
356,JBHT,J.B. Hunt Transport Services Inc. Common Stock
357,JBLU,JetBlue Airways Corporation Common Stock
358,JD,JD.com Inc. American Depositary Shares
359,JJSF,J & J Snack Foods Corp. Common Stock
360,JKHY,Jack Henry & Associates Inc. Common Stock
361,JOBS,51job Inc. American Depositary Shares
362,KDP,Keurig Dr Pepper Inc. Common Stock
363,KHC,The Kraft Heinz Company Common Stock
364,KLAC,KLA Corporation Common Stock
365,KLIC,Kulicke and Soffa Industries Inc. Common Stock
366,KNBE,KnowBe4 Inc. Class A Common Stock
367,KOD,Kodiak Sciences Inc Common Stock
368,KRNT,Kornit Digital Ltd. Ordinary Shares
369,KRTX,Karuna Therapeutics Inc. Common Stock
370,KTOS,Kratos Defense & Security Solutions Inc. Common Stock
371,LAMR,Lamar Advertising Company Class A Common Stock
372,LANC,Lancaster Colony Corporation Common Stock
373,LAUR,Laureate Education Inc. Common Stock
374,LAZR,Luminar Technologies Inc.  Class A Common Stock
375,LBRDA,Liberty Broadband Corporation Class A Common Stock
376,LBRDK,Liberty Broadband Corporation Class C Common Stock
377,LBTYA,Liberty Global plc Class A Ordinary Shares
378,LBTYB,Liberty Global plc Class B Ordinary Shares
379,LBTYK,Liberty Global plc Class C Ordinary Shares
380,LCID,Lucid Group Inc. Common Stock
381,LECO,Lincoln Electric Holdings Inc. Common Shares
382,LEGN,Legend Biotech Corporation American Depositary Shares
383,LESL,Leslie's Inc. Common Stock
384,LFST,LifeStance Health Group Inc. Common Stock
385,LFUS,Littelfuse Inc. Common Stock
386,LGIH,LGI Homes Inc. Common Stock
387,LHCG,LHC Group Common Stock
388,LI,Li Auto Inc. American Depositary Shares
389,LILA,Liberty Latin America Ltd. Class A Common Stock
390,LILAK,Liberty Latin America Ltd. Class C Common Stock
391,LITE,Lumentum Holdings Inc. Common Stock
392,LIVN,LivaNova PLC Ordinary Shares
393,LKFN,Lakeland Financial Corporation Common Stock
394,LKQ,LKQ Corporation Common Stock
395,LMDX,LumiraDx Limited Common Shares
396,LNT,Alliant Energy Corporation Common Stock
397,LOB,Live Oak Bancshares Inc. Common Stock
398,LOGI,Logitech International S.A. Ordinary Shares
399,LOPE,Grand Canyon Education Inc. Common Stock
400,LPLA,LPL Financial Holdings Inc. Common Stock
401,LPRO,Open Lending Corporation Class A Common Stock
402,LRCX,Lam Research Corporation Common Stock
403,LSCC,Lattice Semiconductor Corporation Common Stock
404,LSTR,Landstar System Inc. Common Stock
405,LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock
406,LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock
407,LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock
408,LULU,lululemon athletica inc. Common Stock
409,LYFT,Lyft Inc. Class A Common Stock
410,LZ,LegalZoom.com Inc. Common Stock
411,MANH,Manhattan Associates Inc. Common Stock
412,MANT,ManTech International Corporation Common Stock $0.01 Par Value
413,MAR,Marriott International Class A Common Stock
414,MARA,Marathon Digital Holdings Inc. Common Stock
415,MASI,Masimo Corporation Common Stock
416,MAT,Mattel Inc. Common Stock
417,MCFE,McAfee Corp. Class A Common Stock
418,MCHP,Microchip Technology Incorporated Common Stock
419,MDB,MongoDB Inc. Class A Common Stock
420,MDLZ,Mondelez International Inc. Class A Common Stock
421,MDRX,Allscripts Healthcare Solutions Inc. Common Stock
422,MEDP,Medpace Holdings Inc. Common Stock
423,MELI,MercadoLibre Inc. Common Stock
424,MEOH,Methanex Corporation Common Stock
425,MGEE,MGE Energy Inc
426,MIDD,Middleby Corporation (The) Common Stock
427,MIME,Mimecast Limited Ordinary Shares
428,MKSI,MKS Instruments Inc. Common Stock
429,MKTX,MarketAxess Holdings Inc. Common Stock
430,MLCO,Melco Resorts & Entertainment Limited American Depositary Shares
431,MLKN,MillerKnoll Inc. Common Stock
432,MMSI,Merit Medical Systems Inc. Common Stock
433,MMYT,MakeMyTrip Limited Ordinary Shares
434,MNDT,Mandiant Inc. Common Stock
435,MNDY,monday.com Ltd. Ordinary Shares
436,MNST,Monster Beverage Corporation
437,MNTV,Momentive Global Inc. Common Stock
438,MORN,Morningstar Inc. Common Stock
439,MPWR,Monolithic Power Systems Inc. Common Stock
440,MQ,Marqeta Inc. Class A Common Stock
441,MRCY,Mercury Systems Inc Common Stock
442,MRNA,Moderna Inc. Common Stock
443,MRTX,Mirati Therapeutics Inc. Common Stock
444,MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock
445,MRVL,Marvell Technology Inc. Common Stock
446,MSFT,Microsoft Corporation Common Stock
447,MSTR,MicroStrategy Incorporated Common Stock Class A
448,MTCH,Match Group Inc. Common Stock
449,MTSI,MACOM Technology Solutions Holdings Inc. Common Stock
450,MTTR,Matterport Inc. Class A Common Stock
451,MU,Micron Technology Inc. Common Stock
