id,ticker,stonk
572,QRTEB,Qurate Retail Inc. Series B Common Stock 
573,QRVO,Qorvo Inc. Common Stock
574,RARE,Ultragenyx Pharmaceutical Inc. Common Stock
575,RCII,Rent-A-Center Inc. Common Stock
576,RCM,R1 RCM Inc. Common Stock
577,RDFN,Redfin Corporation Common Stock
578,REG,Regency Centers Corporation Common Stock
579,REGN,Regeneron Pharmaceuticals Inc. Common Stock
580,REYN,Reynolds Consumer Products Inc. Common Stock
581,RGEN,Repligen Corporation Common Stock
582,RGLD,Royal Gold Inc. Common Stock
583,RIVN,Rivian Automotive Inc. Class A Common Stock
584,RKLB,Rocket Lab USA Inc. Common Stock
585,RLAY,Relay Therapeutics Inc. Common Stock
586,RMBS,Rambus Inc. Common Stock
587,RNST,Renasant Corporation Common Stock
588,RNW,ReNew Energy Global plc Class A Ordinary Shares
589,ROIC,Retail Opportunity Investments Corp. Common Stock (MD)
590,ROIV,Roivant Sciences Ltd. Common Shares
591,ROKU,Roku Inc. Class A Common Stock
592,ROLL,RBC Bearings Incorporated Common Stock
593,ROST,Ross Stores Inc. Common Stock
594,RPD,Rapid7 Inc. Common Stock
595,RPRX,Royalty Pharma plc Class A Ordinary Shares 
596,RRR,Red Rock Resorts Inc. Class A Common Stock
597,RUN,Sunrun Inc. Common Stock
598,RUSHA,Rush Enterprises Inc. Common Stock Cl A
599,RUSHB,Rush Enterprises Inc. Class B
600,RXT,Rackspace Technology Inc. Common Stock
601,RYAAY,Ryanair Holdings plc American Depositary Shares
602,SABR,Sabre Corporation Common Stock
603,SAFM,Sanderson Farms Inc. Common Stock
604,SAGE,Sage Therapeutics Inc. Common Stock
605,SAIA,Saia Inc. Common Stock
606,SANM,Sanmina Corporation Common Stock
607,SASR,Sandy Spring Bancorp Inc. Common Stock
608,SATS,EchoStar  Corporation Common Stock
609,SBAC,SBA Communications Corporation Class A Common Stock
610,SBCF,Seacoast Banking Corporation of Florida Common Stock
611,SBGI,Sinclair Broadcast Group Inc. Class A Common Stock
612,SBLK,Star Bulk Carriers Corp. Common Shares
613,SBNY,Signature Bank Common Stock
614,SBRA,Sabra Health Care REIT Inc. Common Stock
615,SBUX,Starbucks Corporation Common Stock
616,SEDG,SolarEdge Technologies Inc. Common Stock
617,SEIC,SEI Investments Company Common Stock
618,SFM,Sprouts Farmers Market Inc. Common Stock
619,SFNC,Simmons First National Corporation Class A Common Stock
620,SGEN,Seagen Inc. Common Stock
621,SGMS,Scientific Games Corp Common Stock
622,SGRY,Surgery Partners Inc. Common Stock
623,SHC,Sotera Health Company Common Stock
624,SHOO,Steven Madden Ltd. Common Stock
625,SIGI,Selective Insurance Group Inc. Common Stock
626,SIMO,Silicon Motion Technology Corporation American Depositary Shares
627,SIRI,Sirius XM Holdings Inc. Common Stock
628,SITM,SiTime Corporation Common Stock
629,SIVB,SVB Financial Group Common Stock
630,SLAB,Silicon Laboratories Inc. Common Stock
631,SLGN,Silgan Holdings Inc. Common Stock
632,SLM,SLM Corporation Common Stock
633,SMCI,Super Micro Computer Inc. Common Stock
634,SMPL,The Simply Good Foods Company Common Stock
635,SMTC,Semtech Corporation Common Stock
636,SNPS,Synopsys Inc. Common Stock
637,SNY,Sanofi ADS
638,SOFI,SoFi Technologies Inc. Common Stock  
639,SONO,Sonos Inc. Common Stock
640,SPLK,Splunk Inc. Common Stock
641,SPSC,SPS Commerce Inc. Common Stock
642,SPT,Sprout Social Inc Class A Common Stock
643,SPWR,SunPower Corporation Common Stock
644,SRAD,Sportradar Group AG Class A Ordinary Shares
645,SRCL,Stericycle Inc. Common Stock
646,SRPT,Sarepta Therapeutics Inc. Common Stock (DE)
647,SSB,SouthState Corporation Common Stock
648,SSNC,SS&C Technologies Holdings Inc. Common Stock
649,SSRM,SSR Mining Inc. Common Stock
650,STAA,STAAR Surgical Company Common Stock
651,STFC,State Auto Financial Corporation Common Stock
652,STLD,Steel Dynamics Inc.
653,STNE,StoneCo Ltd. Class A Common Shares
654,STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland)
655,SWAV,ShockWave Medical Inc. Common Stock
656,SWKS,Skyworks Solutions Inc. Common Stock
657,SWTX,SpringWorks Therapeutics Inc. Common Stock
658,SYNA,Synaptics Incorporated Common Stock $0.001 Par Value
659,SYNH,Syneos Health Inc. Class A Common Stock
660,TASK,TaskUs Inc. Class A Common Stock
661,TBK,Triumph Bancorp Inc. Common Stock
662,TCBI,Texas Capital Bancshares Inc. Common Stock
663,TCOM,Trip.com Group Limited American Depositary Shares
664,TEAM,Atlassian Corporation Plc Class A Ordinary Shares
665,TECH,Bio-Techne Corp Common Stock
666,TENB,Tenable Holdings Inc. Common Stock
667,TER,Teradyne Inc. Common Stock
668,TFSL,TFS Financial Corporation Common Stock
669,THRM,Gentherm Inc Common Stock
670,TIGO,Millicom International Cellular S.A. Common Stock
671,TLRY,Tilray Brands Inc. Class 2 Common Stock 
672,TMUS,T-Mobile US Inc. Common Stock
673,TNDM,Tandem Diabetes Care Inc. Common Stock
674,TOWN,TowneBank Common Stock
675,TPG,TPG Inc. Class A Common Stock
676,TRIP,TripAdvisor Inc. Common Stock
677,TRMB,Trimble Inc. Common Stock
678,TROW,T. Rowe Price Group Inc. Common Stock
679,TRUP,Trupanion Inc. Common Stock
680,TSCO,Tractor Supply Company Common Stock
681,TSEM,Tower Semiconductor Ltd. Ordinary Shares
682,TSLA,Tesla Inc. Common Stock
683,TSP,TuSimple Holdings Inc. Class A Common Stock
684,TTD,The Trade Desk Inc. Class A Common Stock
685,TTEC,TTEC Holdings Inc. Common Stock
686,TTEK,Tetra Tech Inc. Common Stock
687,TTGT,TechTarget Inc. Common Stock
688,TTWO,Take-Two Interactive Software Inc. Common Stock
689,TW,Tradeweb Markets Inc. Class A Common Stock
690,TWKS,Thoughtworks Holding Inc. Common Stock
691,TWNK,Hostess Brands Inc. Class A Common Stock
692,TWST,Twist Bioscience Corporation Common Stock
693,TXG,10x Genomics Inc. Class A Common Stock
694,TXN,Texas Instruments Incorporated Common Stock
695,TXRH,Texas Roadhouse Inc. Common Stock
696,UAL,United Airlines Holdings Inc. Common Stock
697,UBSI,United Bankshares Inc. Common Stock
698,UCBI,United Community Banks Inc. Common Stock
699,UCTT,Ultra Clean Holdings Inc. Common Stock
700,UDMY,Udemy Inc. Common Stock
701,UFPI,UFP Industries Inc. Common Stock
702,UHAL,Amerco Common Stock
703,ULCC,Frontier Group Holdings Inc. Common Stock
704,ULTA,Ulta Beauty Inc. Common Stock
705,UMBF,UMB Financial Corporation Common Stock
706,UMPQ,Umpqua Holdings Corporation Common Stock
707,UNIT,Uniti Group Inc. Common Stock
708,UPST,Upstart Holdings Inc. Common stock
709,UPWK,Upwork Inc. Common Stock
710,URBN,Urban Outfitters Inc. Common Stock
711,UTHR,United Therapeutics Corporation Common Stock
712,VC,Visteon Corporation Common Stock
713,VCSA,Vacasa Inc. Class A Common Stock
714,VCTR,Victory Capital Holdings Inc. Class A Common Stock
715,VEON,VEON Ltd. ADS
716,VERX,Vertex Inc. Class A Common Stock
717,VG,Vonage Holdings Corp. Common Stock
718,VIAC,ViacomCBS Inc. Class B Common Stock
719,VIACA,ViacomCBS Inc. Class A Common Stock
720,VIAV,Viavi Solutions Inc. Common Stock
721,VICR,Vicor Corporation Common Stock
722,VIR,Vir Biotechnology Inc. Common Stock
723,VIRT,Virtu Financial Inc. Class A Common Stock
724,VLY,Valley National Bancorp Common Stock
725,VMEO,Vimeo Inc. Common Stock
726,VNOM,Viper Energy Partners LP Common Unit
727,VOD,Vodafone Group Plc American Depositary Shares
728,VORB,Virgin Orbit Holdings Inc. Common Stock
729,VRNS,Varonis Systems Inc. Common Stock
730,VRNT,Verint Systems Inc. Common Stock
731,VRRM,Verra Mobility Corporation Class A Common Stock
732,VRSK,Verisk Analytics Inc. Common Stock
733,VRSN,VeriSign Inc. Common Stock
734,VRTX,Vertex Pharmaceuticals Incorporated Common Stock
735,VSAT,ViaSat Inc. Common Stock
736,VTRS,Viatris Inc. Common Stock
737,WAFD,Washington Federal Inc. Common Stock
738,WB,Weibo Corporation American Depositary Share
739,WBA,Walgreens Boots Alliance Inc. Common Stock
740,WDAY,Workday Inc. Class A Common Stock
741,WDC,Western Digital Corporation Common Stock
742,WDFC,WD-40 Company Common Stock
743,WEN,Wendy's Company (The) Common Stock
744,WERN,Werner Enterprises Inc. Common Stock
745,WFRD,Weatherford International plc Ordinary Shares
746,WING,Wingstop Inc. Common Stock
747,WIRE,Encore Wire Corporation Common Stock
748,WIX,Wix.com Ltd. Ordinary Shares
749,WMG,Warner Music Group Corp. Class A Common Stock
750,WOOF,Petco Health and Wellness Company Inc. Class A Common Stock
751,WSBC,WesBanco Inc. Common Stock
752,WSC,WillScot Mobile Mini Holdings Corp. Class A Common Stock
753,WSFS,WSFS Financial Corporation Common Stock
754,WTFC,Wintrust Financial Corporation Common Stock
755,WTW,Willis Towers Watson Public Limited Company Ordinary Shares
756,WWD,Woodward Inc. Common Stock
757,WYNN,Wynn Resorts Limited Common stock
758,XEL,Xcel Energy Inc. Common Stock
759,XLNX,Xilinx Inc. Common Stock
760,XM,Qualtrics International Inc. Class A Common Stock
761,XMTR,Xometry Inc. Class A Common Stock
762,XP,XP Inc. Class A Common Stock
763,XRAY,DENTSPLY SIRONA Inc. Common Stock
764,XRX,Xerox Holdings Corporation Common Stock
765,YNDX,Yandex N.V. Class A Ordinary Shares
766,YY,JOYY Inc. American Depositary Shares
767,Z,Zillow Group Inc. Class C Capital Stock
768,ZBRA,Zebra Technologies Corporation Class A Common Stock
769,ZD,Ziff Davis Inc. Common Stock
770,ZG,Zillow Group Inc. Class A Common Stock
771,ZI,ZoomInfo Technologies Inc Class A Common Stock
772,ZION,Zions Bancorporation N.A. Common Stock
773,ZLAB,Zai Lab Limited American Depositary Shares
774,ZM,Zoom Video Communications Inc. Class A Common Stock
775,ZNGA,Zynga Inc. Class A Common Stock
776,ZNTL,Zentalis Pharmaceuticals Inc. Common Stock
777,ZS,Zscaler Inc. Common Stock
